stationid	stationname	province	latitude	longitude	start_dt	end_dt
5	SAANICH OLDFIELD NORTH	BC	48.55	-123.42	1965-12-24	1967-03-31
6	VICTORIA PHYLLIS STREET	BC	48.46	-123.27	1973-06-01	2001-08-31
7	VICTORIA PORTAGE INLET	BC	48.45	-123.43	1976-05-01	1983-05-31
8	VICTORIA WILLOWS PARK	BC	48.43	-123.3	1970-04-01	1979-01-31
9	VICTORIA WEST	BC	48.43	-123.38	1967-10-04	1968-07-31
10	VICTORIA SHORT STREET	BC	48.45	-123.37	1961-11-01	1973-08-31
11	VICTORIA SHELBOURNE	BC	48.47	-123.33	1964-05-01	1991-10-31
12	VICTORIA PROSPECT LAKE	BC	48.52	-123.43	1973-11-01	1986-11-30
13	VICTORIA PRINCESS AVE	BC	48.43	-123.35	1973-11-01	1991-11-13
18	BEAVER LAKE	BC	48.5	-123.35	1894-12-01	1952-06-30
19	BECHER BAY	BC	48.33	-123.63	1956-12-01	1966-04-30
27	COBBLE HILL	BC	48.68	-123.6	1990-11-01	1994-02-28
40	LAKE COWICHAN	BC	48.83	-124.05	1960-07-15	2023-02-28
42	DUNCAN	BC	48.78	-123.72	1926-01-01	1957-12-31
43	DUNCAN BCHPA VIT	BC	48.83	-123.72	1972-10-12	1976-07-31
44	DUNCAN EAST	BC	48.78	-123.68	1960-02-12	1964-11-30
45	DUNCAN FORESTRY	BC	48.77	-123.68	1958-07-01	1989-12-31
46	DUNCAN KELVIN CREEK	BC	48.73	-123.73	1987-04-15	2016-03-20
57	GANGES MANSELL RD	BC	48.87	-123.5	1974-12-07	2014-01-31
60	HONEYMOON BAY NORTHWEST	BC	48.83	-124.19	1989-06-01	2003-01-31
63	LAKE COWICHAN	BC	48.82	-124.05	1924-01-01	1994-11-30
71	MILL BAY KILMALU	BC	48.65	-123.55	1972-10-01	1983-07-31
72	MILL BAY 1 SOUTHWEST	BC	48.64	-123.56	1989-02-01	2006-05-31
74	MILNES LANDING	BC	48.35	-123.73	1910-01-01	1956-02-29
76	NORTH COWICHAN	BC	48.82	-123.72	1981-03-10	2023-03-04
77	NORTH PENDER ISLAND	BC	48.76	-123.29	1972-02-14	2023-03-06
78	SAANICHTON MT NEWTON	BC	48.6	-123.43	1980-08-01	2023-02-28
85	SAANICH DOM ASTRO OBS	BC	48.52	-123.42	1916-12-01	1977-06-30
86	SAANICH OLDFIELD	BC	48.55	-123.42	1965-09-25	1966-03-15
87	SAANICHTON CDA	BC	48.62	-123.42	1914-03-01	2023-02-10
88	SAANICH CAMOSUN COLLEGE	BC	48.5	-123.42	1974-06-07	1975-10-10
89	SAANICH DENSMORE	BC	48.5	-123.4	1963-11-01	1992-02-29
100	SOOKE	BC	48.37	-123.73	1970-03-01	1992-06-30
101	SOOKE GLINZ LAKE	BC	48.42	-123.63	1983-08-01	1995-07-31
102	SOOKE LAKE	BC	48.52	-123.7	1903-01-01	1966-09-30
103	SOOKE LAKE NORTH	BC	48.58	-123.64	1966-10-16	2011-10-31
104	SOOKE OTTER POINT	BC	48.37	-123.82	1974-03-05	1977-11-30
105	SOOKE SASEENOS	BC	48.38	-123.67	1976-04-15	1979-07-31
107	VICTORIA U VIC	BC	48.47	-123.33	1974-07-25	1988-02-29
120	VICTORIA LANSDOWNE	BC	48.43	-123.32	1954-01-01	1962-06-30
121	VICTORIA MARINE	BC	48.37	-123.75	1967-06-01	1992-03-31
122	VICTORIA MUSGRAVE STREET	BC	48.43	-123.3	1966-01-09	1967-07-31
123	VICTORIA NORTH DAIRY RD	BC	48.45	-123.33	1964-06-01	1965-11-30
124	VICTORIA NORTHRIDGE	BC	48.49	-123.4	1990-05-01	1999-08-31
125	VICTORIA ROWLEY ROAD	BC	48.47	-123.3	1962-04-23	1962-07-31
126	VICTORIA SINCLAIR ROAD	BC	48.47	-123.3	1960-08-01	1960-12-31
127	VICTORIA TILLICUM	BC	48.45	-123.39	1958-05-01	2000-03-31
128	VICTORIA TUDOR AVENUE	BC	48.45	-123.27	1962-04-23	1963-06-30
133	NANAIMO RIVER CAMP	BC	49.08	-124.08	1962-08-11	1968-12-20
134	NANAIMO NORTH	BC	49.22	-123.98	1989-02-01	1989-06-30
154	COAL HARBOUR RUPERT IN	BC	50.6	-127.5	1968-09-01	1996-06-30
157	COOMBS	BC	49.31	-124.43	1960-10-01	2010-07-31
166	DENMAN ISLAND	BC	49.52	-124.78	1906-08-01	1993-03-31
167	DENMAN ISLAND EAST SHORE	BC	49.52	-124.74	1987-05-01	1989-06-30
168	DENMAN ISLAND 2	BC	49.55	-124.8	1989-10-10	1996-05-31
169	DUNCAN BAY	BC	50.07	-125.28	1957-09-16	1994-03-31
173	HERIOT BAY SE	BC	50.1	-125.2	1984-04-18	2022-12-30
184	NANAIMO DEPARTURE BAY	BC	49.22	-123.95	1913-01-01	1992-11-30
189	NANAIMO CITY YARD	BC	49.2	-123.99	1981-08-01	2023-03-07
190	NANAIMO CHUB	BC	49.17	-123.93	1969-08-01	1977-04-30
191	NANAIMO	BC	49.18	-123.97	1892-01-01	1968-05-31
192	NANAIMO A	BC	49.05	-123.87	1954-01-01	2013-12-31
193	NANAIMO WATER RESERVOIR	BC	49.15	-123.97	1962-08-13	1967-08-31
196	OYSTER RIVER UBC	BC	49.88	-125.13	1967-04-01	2006-04-30
197	PARKSVILLE	BC	49.3	-124.3	1915-09-01	1960-05-29
198	PARKSVILLE NORTHWEST	BC	49.33	-124.33	1961-07-01	1965-04-16
199	PARKSVILLE SOUTH	BC	49.33	-124.3	1967-05-01	1993-03-17
