postalcode	closest_stationid	eff_from_dt	eff_to_dt
A0A0A0	6633	1953-01-01	1989-12-31
A0A0A0	6636	1990-01-01	2003-12-30
A0A0A0	6633	2003-12-31	2012-03-19
A0A0A0	50088	2012-03-20	2023-03-08
A0A1A0	6556	1953-01-01	1955-06-30
A0A1A0	6559	1955-07-01	1955-09-30
A0A1A0	6602	1955-10-01	1960-05-31
A0A1A0	6559	1960-06-01	1961-06-30
A0A1A0	6730	1961-07-01	1961-12-04
A0A1A0	6659	1961-12-05	1966-01-31
A0A1A0	6753	1966-02-01	1966-02-28
A0A1A0	6659	1966-03-01	1982-09-30
A0A1A0	6730	1982-10-01	1988-04-30
A0A1A0	6658	1988-05-01	1989-09-30
A0A1A0	6694	1989-10-01	1991-06-30
A0A1A0	6658	1991-07-01	2016-11-29
A0A1A0	6578	2016-11-30	2017-01-08
A0A1A0	10113	2017-01-09	2023-03-08
A0A1B0	6556	1953-01-01	1955-06-30
A0A1B0	6559	1955-07-01	1996-09-30
A0A1B0	6658	1996-10-01	2016-11-29
A0A1B0	10113	2016-11-30	2023-03-08
A0A1C0	6556	1953-01-01	1955-06-30
A0A1C0	6559	1955-07-01	1955-09-30
A0A1C0	6602	1955-10-01	1960-05-31
A0A1C0	6559	1960-06-01	1961-06-30
A0A1C0	6730	1961-07-01	1970-11-22
A0A1C0	6681	1970-11-23	1975-08-31
A0A1C0	6730	1975-09-01	1988-04-30
A0A1C0	6658	1988-05-01	1989-09-30
A0A1C0	6694	1989-10-01	1991-06-30
A0A1C0	6658	1991-07-01	2016-11-29
A0A1C0	10113	2016-11-30	2023-03-08
A0A1E0	6556	1953-01-01	1953-12-31
A0A1E0	6669	1954-01-01	1955-06-30
A0A1E0	6559	1955-07-01	1955-09-30
A0A1E0	6602	1955-10-01	1960-05-31
A0A1E0	6559	1960-06-01	1961-06-30
A0A1E0	6730	1961-07-01	1966-10-31
A0A1E0	6671	1966-11-01	1969-11-30
A0A1E0	6672	1969-12-01	1970-11-22
A0A1E0	6681	1970-11-23	1975-08-31
A0A1E0	6672	1975-09-01	1989-10-31
A0A1E0	6731	1989-11-01	1998-07-29
A0A1E0	6672	1998-07-30	2004-11-27
A0A1E0	6658	2004-11-28	2016-11-29
A0A1E0	6599	2016-11-30	2019-07-30
A0A1E0	6669	2019-07-31	2023-03-07
A0A1G0	6556	1953-01-01	1955-06-30
A0A1G0	6559	1955-07-01	1996-09-30
A0A1G0	6658	1996-10-01	2016-11-29
A0A1G0	10113	2016-11-30	2023-03-08
A0A1H0	6556	1953-01-01	1955-06-30
A0A1H0	6559	1955-07-01	1955-09-30
A0A1H0	6602	1955-10-01	1960-05-31
A0A1H0	6559	1960-06-01	1961-06-30
A0A1H0	6730	1961-07-01	1969-11-30
A0A1H0	6672	1969-12-01	1970-11-22
A0A1H0	6681	1970-11-23	1975-08-31
A0A1H0	6672	1975-09-01	2004-11-27
A0A1H0	6658	2004-11-28	2016-11-29
A0A1H0	10113	2016-11-30	2023-03-08
A0A1J0	6556	1953-01-01	1955-06-30
A0A1J0	6559	1955-07-01	1955-09-30
A0A1J0	6602	1955-10-01	1960-05-31
A0A1J0	6559	1960-06-01	1961-06-30
A0A1J0	6730	1961-07-01	1969-11-30
A0A1J0	6672	1969-12-01	2004-11-27
A0A1J0	6658	2004-11-28	2016-11-29
A0A1J0	10113	2016-11-30	2023-03-08
A0A1K0	6556	1953-01-01	1955-06-30
A0A1K0	6559	1955-07-01	1996-09-30
A0A1K0	6658	1996-10-01	2016-11-29
A0A1K0	10113	2016-11-30	2023-03-08
A0A1L0	6556	1953-01-01	1953-12-31
A0A1L0	6669	1954-01-01	1955-06-30
A0A1L0	6559	1955-07-01	1961-06-30
A0A1L0	6730	1961-07-01	1970-10-31
A0A1L0	6658	1970-11-01	1989-10-31
A0A1L0	6731	1989-11-01	1998-07-29
A0A1L0	6658	1998-07-30	2016-11-29
A0A1L0	6599	2016-11-30	2019-07-30
A0A1L0	6669	2019-07-31	2023-03-07
A0A1M0	6556	1953-01-01	1953-12-31
A0A1M0	6669	1954-01-01	1955-06-30
A0A1M0	6559	1955-07-01	1961-06-30
A0A1M0	6730	1961-07-01	1988-04-30
A0A1M0	6658	1988-05-01	1989-09-30
A0A1M0	6694	1989-10-01	1989-10-31
A0A1M0	6731	1989-11-01	1998-07-29
A0A1M0	6658	1998-07-30	2016-11-29
A0A1M0	6599	2016-11-30	2019-07-30
A0A1M0	6669	2019-07-31	2023-03-07
A0A1N0	6556	1953-01-01	1955-06-30
A0A1N0	6559	1955-07-01	1955-09-30
A0A1N0	6602	1955-10-01	1960-05-31
A0A1N0	6559	1960-06-01	1961-06-30
A0A1N0	6730	1961-07-01	1961-12-04
A0A1N0	6659	1961-12-05	1982-09-30
A0A1N0	6730	1982-10-01	1988-04-30
A0A1N0	6658	1988-05-01	1989-09-30
A0A1N0	6694	1989-10-01	1991-06-30
A0A1N0	6658	1991-07-01	2016-11-29
A0A1N0	6578	2016-11-30	2017-01-08
