province	segment	postalcode	stationid	distance
NL	3	A1C5M6	6672	0.1119170001
NL	3	A1C5M6	6681	0.1890550001
NL	3	A1C5M6	6694	0.4680830001
NL	3	A1C5M6	6730	0.4680830002
NL	3	A1C5M6	6658	0.4980830001
NL	3	A1C5M6	6602	0.5980830001
NL	3	A1C5M6	6659	0.5980830002
NL	3	A1C5M6	6559	0.6580830001
NL	3	A1C5M6	6731	0.8790550001
NL	3	A1C5M6	6748	1.0790550001
NL	3	A1C5M6	6753	1.2880830001
NL	3	A1C5M6	6682	1.3880830001
NL	3	A1C5M6	6754	1.4480830001
NL	3	A1C5M6	6671	1.5090550001
NL	3	A1C5M6	10113	1.5380830001
NL	3	A1C5M6	6556	1.5480830001
NL	3	A1C5M6	6557	1.5480830002
NL	3	A1C5M6	6725	1.6980830001
NL	3	A1C5M6	6599	1.7790550001
NL	3	A1C5M6	6578	1.9380830001
NL	3	A1C5M6	6669	1.9790550001
NL	3	A1C5M6	10909	2.1080830001
NL	3	A1C5M6	6696	2.2490550001
NL	3	A1C5M6	6575	2.2580830001
NL	3	A1C5M6	6702	2.5580830001
NL	3	A1C5M6	6676	2.8280830001
NL	3	A1C5M6	6635	2.9780830001
NL	3	A1C5M6	6667	3.1080830001
NL	3	A1C5M6	50088	3.2390550001
NL	3	A1C5M6	30346	3.2490550001
NL	3	A1C5M6	6633	3.2590550001
NL	3	A1C5M6	6594	3.3990550001
NL	3	A1C5M6	55398	3.4490550001
NL	3	A1C5M6	6634	3.4790550001
NL	3	A1C5M6	6636	3.5590550001
NL	3	A1C5M6	6937	4.4290550001
NL	3	A1C5M6	6666	4.9590550001
NL	3	A1C5M6	6582	5.0490550001
NL	3	A1C5M6	6646	5.0790550001
NL	3	A1C5M6	50678	5.0890550001
NL	3	A1C5M6	6755	5.2190550001
NL	3	A1C5M6	6668	5.3190550001
NL	3	A1C5M6	6733	5.3190550002
NL	3	A1C5M6	6581	5.4090550001
NL	3	A1C5M6	6579	5.4190550001
NL	3	A1C5M6	6660	5.5390550001
NL	3	A1C5M6	5020	5.9890550001
NL	3	A1C5M6	6644	6.0090550001
NL	3	A1C5M6	6663	6.2790550001
NL	3	A1C5M6	6665	6.3790550001
NL	3	A1C5M6	6734	6.3790550002
NL	3	A1C5M6	6664	6.4190550001
NL	3	A1C5M6	6693	6.4490550001
NL	3	A1C5M6	54640	6.4490550002
NL	3	A1C5M6	6695	6.4990550001
NL	3	A1C5M6	6616	6.5190550001
NL	3	A1C5M6	6717	6.6290550001
NL	3	A1C5M6	6706	6.7190550001
NL	3	A1C5M6	6741	6.7290550001
NL	3	A1C5M6	6932	6.7290550002
NL	3	A1C5M6	6670	6.7690550001
NL	3	A1C5M6	6740	6.8090550001
NL	3	A1C5M6	52759	6.8190550001
NL	3	A1C5M6	47607	6.8590550001
NL	3	A1C5M6	6705	7.1790550001
NL	3	A1C5M6	6938	7.1790550002
NL	3	A1C5M6	6783	7.8590550001
NL	3	A1C5M6	10227	7.8590550002
NL	3	A1C5M6	51918	7.8790550001
NL	3	A1C5M6	6803	8.0290550001
NL	3	A1C5M6	6804	8.0290550002
NL	3	A1C5M6	6789	13.3990550001
NL	3	A1C5M6	6788	13.4090550001
NL	3	A1C5M6	6779	14.2290550001
NL	3	A1C5M6	6781	15.3990550001
NL	3	A1C5M6	6940	17.2290550001
NL	3	A1C5M6	6774	17.3790550001
NL	3	A1C5M6	10887	17.3790550002
NL	3	A1C5M6	49629	17.3990550001
NL	3	A1C5M6	6787	17.9590550001
NL	3	A1C5M6	53502	17.9590550002
NL	3	A1C5M6	53507	17.9590550003
NL	3	A1C5M6	6799	19.0590550001
NL	3	A1C5M6	6595	19.5790550001
NL	3	A1C5M9	6672	0.0533240001
NL	3	A1C5M9	6681	0.1281100001
NL	3	A1C5M9	6694	0.5481100001
NL	3	A1C5M9	6730	0.5481100002
NL	3	A1C5M9	6658	0.5781100001
NL	3	A1C5M9	6602	0.6781100001
NL	3	A1C5M9	6659	0.6781100002
NL	3	A1C5M9	6559	0.7381100001
